aaa,9427210,9904,93,153
aab,9982067,9122,14,39
aac,9753617,9465,413,992
aad,9822702,9836,126,179
aae,9429361,8056,17,30
aaf,9751180,9689,277,573
aag,9678520,8862,106,299
aba,9980390,9191,133,280
abb,9721277,9706,254,382
abc,9972846,8700,83,158
abd,9977557,8866,56,127
abe,9791027,8195,5,5
abf,9993101,7862,28,123
abg,9964053,8593,118,285
aca,9743770,9981,167,327
acb,9659590,8169,35,54
acc,9751058,7728,52,130
acd,9871644,8496,80,165
ace,9965686,9864,75,216
acf,9863815,9307,113,360
acg,9983989,9419,82,110
ada,9741650,9128,33,58
adb,9810619,6214,130,239
adc,9589237,9970,35,110
add,9872135,8888,55,164
ade,9868770,8820,101,161
adf,9676513,10667,53,125
adg,9841603,8770,237,372
aea,9900383,9385,206,380
aeb,9967387,9606,177,449
aec,9467319,8361,175,299
aed,9931519,8841,70,197
aee,9943268,9575,263,430
aef,9741005,9602,111,220
aeg,9879657,10243,336,491
afa,9957099,7137,40,60
afb,9752387,6811,33,78
afc,9797525,10224,164,367
afd,9792212,8705,66,199
afe,9971303,9090,9,23
aff,9474432,7592,18,38
afg,9855753,9199,141,192
aga,9988964,8661,170,321
agb,9895242,9370,136,301
agc,9836381,7371,76,183
agd,9938636,8408,116,206
age,9865406,8385,97,175
agf,9928244,11867,22,79
agg,9919507,9349,159,295
baa,9707650,8737,154,266
bab,9911048,8890,90,196
bac,9542457,8738,239,297
bad,9930941,8629,69,161
bae,9790897,8499,25,82
baf,9929574,7952,246,358
bag,9949687,8153,127,199
bba,9887041,10011,85,181
bbb,9555339,9603,78,165
bbc,9932802,9745,6,19
bbd,9903001,9394,166,292
bbe,9905202,9047,61,101
bbf,9826336,8426,36,106
bbg,9575796,8452,88,219
bca,9904186,7696,7,15
bcb,9871909,10146,259,367
bcc,9904191,8662,12,33
bcd,9500017,10138,183,399
bce,9737199,7449,187,295
bcf,9973715,9081,94,176
bcg,9922766,8724,35,105
bda,9869812,7985,42,130
bdb,9834242,10796,67,167
bdc,9934614,6758,174,303
bdd,9928987,6510,98,231
bde,9963329,7615,98,174
bdf,9842851,8142,75,154
bdg,9881764,10491,122,199
bea,9342655,8632,10,27
beb,9933173,9943,80,209
bec,9875650,9586,16,35
bed,9961486,8426,8,19
bee,9906825,8114,133,265
bef,9833266,8212,94,281
beg,9852557,8483,129,223
bfa,9895940,10773,15,83
bfb,9982251,10089,188,327
bfc,9601918,7674,47,103
bfd,9725154,11392,30,83
bfe,9941169,8284,28,80
bff,9940614,9175,171,302
bfg,9946003,8315,28,53
bga,9618044,8467,101,299
bgb,9726746,8136,35,91
bgc,9814823,9747,7,21
bgd,9906826,7914,138,299
bge,9689257,11368,51,98
bgf,9964363,9488,16,45
bgg,9928284,8959,65,143
caa,9959218,8065,154,245
cab,9829497,8657,72,147
cac,9488160,11181,15,49
cad,9952007,9111,130,228
cae,9780039,8011,71,153
caf,9975665,7219,84,226
